code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quarter
000735,罗牛山,8.52,56.08,34.5152,61.4585,0.2144,109.5829,0.3823,2000,2
000037,深南电A,8.45,14.82,21.1705,54.8028,0.1537,369.594,1.037,2000,2
600368,五洲交通,8.42,62.49,77.1986,42.8833,0.09699999999999999,68.6143,0.1552,2000,2
000159,国际实业,8.36,5.59,24.2553,12.9061,0.1267,230.7998,2.2673,2000,2
000939,凯迪生态,8.33,34.63,27.5412,36.5413,0.2534,105.4908,0.7315,2000,2
000048,康达尔,8.32,10.68,20.6091,49.6904,0.1271,465.0353,1.19,2000,2
600647,同达创业,8.31,0.39,13.5905,0.8253,0.0154,206.7669,3.8635,2000,2
000828,东莞控股,8.3,15.69,23.8469,249.0846,0.2566,1587.3498,1.6354,2000,2
000693,*ST华泽,8.29,19.99,29.6586,17.7683,0.1491,88.8613,0.7457,2000,2
000488,晨鸣纸业,8.24,9.63,27.9503,121.5497,0.317,1261.649,3.2907,2000,2
000035,中国天楹,8.21,5.44,17.5408,21.3778,0.1844,392.6706,3.3883,2000,2
600727,鲁北化工,8.19,22.9,26.6319,104.5936,0.314,456.7137,1.3715,2000,2
000892,欢瑞世纪,8.17,42.66,25.1786,42.0368,0.1523,98.5367,0.3571,2000,2
600628,新世界,8.12,4.46,14.8188,42.7521,0.2263,957.3392,5.0677,2000,2
600724,宁波富达,8.08,10.24,24.6135,22.6324,0.1103,220.8243,1.0769,2000,2
000677,恒天海龙,8.06,8.03,16.8386,22.4479,0.1355,279.5141,1.6872,2000,2
000066,中国长城,7.99,10.09,8.888,94.094,0.2052,932.1674,2.0331,2000,2
600138,中青旅,7.96,12.72,21.3361,56.1543,0.2339,441.2633,1.8385,2000,2
600550,保变电气,7.95,6.98,24.3596,19.7123,0.1232,282.1496,1.7634,2000,2
000155,*ST川化,7.91,7.56,22.5035,41.5056,0.122,548.319,1.6127,2000,2
000819,岳阳兴长,7.89,6.61,11.9695,26.1433,0.1583,395.3569,2.3941,2000,2
600887,伊利股份,7.89,8.61,27.3626,62.3042,0.4247,723.5191,4.9329,2000,2
000889,茂业通信,7.85,13.42,34.855,27.025,0.1364,201.2715,1.016,2000,2
600161,天坛生物,7.82,32.69,58.597,23.706,0.1234,72.5022,0.3776,2000,2
600288,大恒科技,7.81,2.41,10.7365,15.2098,0.1689,629.1302,6.9903,2000,2
600751,天海投资,7.81,14.87,28.8849,65.5885,0.1407,440.8839,0.9461,2000,2
600210,紫江企业,7.81,18.11,31.8871,77.5323,0.2397,427.8864,1.3230000000000002,2000,2
600080,金花股份,7.79,44.25,74.7158,40.6768,0.1986,91.9196,0.4488,2000,2
600133,东湖高新,7.74,21.21,41.4635,31.2661,0.1221,147.357,0.5756,2000,2
600726,华电能源,7.74,36.43,42.1545,141.6001,0.2409,388.6525,0.6613,2000,2
600747,*ST大控,7.72,18.42,38.9239,56.1899,0.2265,305.0285,1.2298,2000,2
600741,华域汽车,7.66,7.81,32.9106,71.9349,0.16,920.5966,2.0485,2000,2
600637,东方明珠,7.59,8.71,15.7378,93.414,0.1518,1071.6105,1.7416,2000,2
000516,国际医学,7.54,5.19,13.0837,18.112000000000002,0.1504,348.4682,2.8954,2000,2
600084,中葡股份,7.54,22.01,28.0143,45.2706,0.2502,205.6339,1.1366,2000,2
000063,中兴通讯,7.53,8.07,44.0501,124.6364,0.3014,1543.4975,3.7336,2000,2
000676,智度股份,7.52,31.6,43.2708,17.3458,0.1954,54.8832,0.6184,2000,2
000959,首钢股份,7.51,6.63,11.7123,398.2449,0.1724,6000.7259,2.5977,2000,2
600729,重庆百货,7.48,2.84,12.5092,30.3643,0.1488,1068.6706,5.2385,2000,2
600152,维科精华,7.48,5.45,11.8993,31.2921,0.1148,573.9224,2.1071,2000,2
600388,龙净环保,7.47,11.62,25.6451,10.296,0.1009,88.5898,0.8685,2000,2
600006,东风汽车,7.46,12.31,19.9931,203.1206,0.2031,1649.0258,1.649,2000,2
